Current,Position,Time
0.575,47793,0.0
0.5654,25347,1.0
0.25,41825,2.0
0.3433,53428,3.0
0.902,57079,4.0
0.7114,41210,5.0
0.9253,36644,6.0
0.823,29297,7.0
0.912,43252,8.0
0.958,35383,9.0
0.649,17614,10.0
0.842,46701,11.0
0.1509,40520,12.0
0.9204,28628,13.0
0.555,37979,14.0
0.7036,55967,15.0
0.1694,57228,16.0
0.778,59967,17.0
0.01318,46336,18.0
0.227,57706,19.0
0.4976,52541,20.0
0.3647,20089,21.0
0.1089,14920,22.0
0.1343,17471,23.0
0.266,282,24.0
0.772,45664,25.0
0.04297,54469,26.0
0.1162,35532,27.0
0.793,44814,28.0
0.0864,37339,29.0
0.6836,42591,30.0
0.8013,48372,31.0
0.3516,57467,32.0
0.5005,40295,33.0
0.5713,61998,34.0
0.807,22152,35.0
0.823,45423,36.0
0.7046,8487,37.0
0.6904,42136,38.0
0.3828,32811,39.0
0.289,12216,40.0
0.723,61078,41.0
0.7603,34471,42.0
0.2109,18007,43.0
0.6753,47494,44.0
0.2554,2110,45.0
0.697,38411,46.0
0.83,23416,47.0
0.955,45460,48.0
0.9487,8761,49.0
0.2324,46919,50.0
0.2251,62229,51.0
0.3218,42426,52.0
0.6733,19813,53.0
0.06104,32164,54.0
0.5425,38790,55.0
0.1396,57688,56.0
0.2876,34194,57.0
0.8237,63157,58.0
0.988,55859,59.0
0.544,27689,60.0
0.01611,17166,61.0
0.5254,42884,62.0
0.846,24741,63.0
0.2192,30336,64.0
0.696,34679,65.0
0.9795,28860,66.0
0.9097,47534,67.0
0.271,62347,68.0
0.4038,59246,69.0
0.0713,60775,70.0
0.5117,16323,71.0
0.991,58397,72.0
0.145,55157,73.0
0.567,59826,74.0
0.1445,31376,75.0
0.3125,23070,76.0
0.9097,14943,77.0
0.8633,5757,78.0
0.10986,39474,79.0
0.709,4801,80.0
0.997,9138,81.0
0.1006,21656,82.0
0.1484,9739,83.0
0.627,9982,84.0
0.4785,38765,85.0
0.1616,8824,86.0
0.25,40146,87.0
0.864,40703,88.0
0.2368,58146,89.0
0.412,41981,90.0
0.02246,46859,91.0
0.5796,31645,92.0
0.0664,11976,93.0
0.6567,55047,94.0
0.4312,10352,95.0
0.4272,4972,96.0
0.009766,51367,97.0
0.7144,62270,98.0
0.11084,15234,99.0
